"",,,,,Previous Retail,September 2020,September 2020,September 2020,September 2020
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,,,,,
"",,,,,Price,PV,BV,IBOC,Retail Price
122971,NutriliteTM Vitamin B Blister Pack,3.40,10.20,10.20,12.00,3.32,10.13,10.13,11.25
123362,NutriliteTM Bone Health Pack,32.25,98.25,98.25,131.00,32.16,98.10,98.10,109.00
123364,NutriliteTM Double XTM Vitamin/Mineral/Phytonutrient Supplement – 10-Day Supply,6.80,20.40,20.40,24.00,6.79,20.70,20.70,23.00
123367,NutriliteTM Heart Health Pack,37.50,112.50,112.50,150.00,36.89,112.50,112.50,125.00
123377,NutriliteTM Perfect Pack,39.75,119.25,119.25,159.00,39.25,119.70,119.70,133.00
123842,NutriliteTM Ultra Focus Energy Pack,11.05,33.15,33.15,39.00,10.92,33.30,33.30,37.00
123843,NutriliteTM Immunity Pack,8.22,24.65,24.65,29.00,7.97,24.30,24.30,27.00
A0244,NutriliteTM Double XTM Vitamin/Mineral/Phytonutrient Supplement – 31-Day Refill,17.75,53.25,53.25,71.00,17.41,53.10,53.10,59.00
A4042,NutriliteTM Chewable Vitamin E,12.75,39.00,39.00,52.00,12.69,38.70,38.70,43.00
A4230,NutriliteTM Gluten-free Daily,11.33,35.70,35.70,42.00,11.80,36.00,36.00,40.00
A4300,NutriliteTM Double XTM Vitamin/Mineral/Phytonutrient Supplement – 31-Day Supply with 3-Compartment Case,18.25,54.75,54.75,73.00,18.00,54.90,54.90,61.00
A5353,NutriliteTM Kids Chewable Vitamin C,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A5923,NutriliteTM Garlic Heart Care,9.75,30.75,30.75,41.00,10.03,30.60,30.60,34.00
A5986,NutriliteTM Immunity Echinacea,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A7553,"NutriliteTM Hair, Skin and Nail Health",7.25,22.50,22.50,30.00,7.38,22.50,22.50,25.00
A8004,NutriliteTM Prostate Health,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
A8006,NutriliteTM PMS Women's Health,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A8084,NutriliteTM Liver Support,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A8085,NutriliteTM Menopause EaseTM Dietary Supplement,9.50,28.50,28.50,38.00,9.44,28.80,28.80,32.00
A8600,NutriliteTM Glucose Health,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A8601,NutriliteTM Heart Health CoQ10,8.50,25.50,25.50,34.00,8.26,25.20,25.20,28.00
A8903,NutriliteTM Digestive Enzyme,13.75,43.50,43.50,58.00,14.16,43.20,43.20,48.00
A8914,NutriliteTM Balanced Health Omega,6.00,18.00,18.00,24.00,5.90,18.00,18.00,20.00
A8919,NutriliteTM Heart Health Omega,10.50,31.50,31.50,42.00,10.33,31.50,31.50,35.00
A8992,NutriliteTM Sleep Health,7.25,22.50,22.50,30.00,7.38,22.50,22.50,25.00
AA0114,NutriliteTM Digestive Probiotic,11.25,33.75,33.75,45.00,11.21,34.20,34.20,38.00
120571,NutriliteTM Balance WithinTM Probiotic,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
109745,NutriliteTM Vitamin C Extended Release - 60 Tablets,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
123843,NutriliteTM Immunity Pack,8.22,24.65,24.65,29.00,7.97,24.30,24.30,27.00
124484,NutriliteTM Daily – 60 Tablets,4.53,13.60,13.60,16.00,4.43,13.50,13.50,15.00
290215,NutriliteTM Strong Living Bundle,34.00,103.50,103.50,138.00,34.23,104.40,104.40,116.00
294984,NutriliteTM Double XTM Messenger Kit,39.67,75.15,170.00,173.60,22.31,68.04,107.10,114.66
100332,NutriliteTM Perfect Pack for Your Health - 30 day refill,35.75,108.75,108.75,145.00,35.70,108.90,108.90,121.00
123842  NutriliteTM Ultra Focus Energy Pack,,11.05,33.15,33.15,39.00,10.92,33.30,33.30,37.00
123843  NutriliteTM Immunity Pack,,8.22,24.65,24.65,29.00,7.97,24.30,24.30,27.00
A0244  NutriliteTM Double XTM Vitamin/Mineral/Phytonutrient Supplement – 31-Day Refill,,17.75,53.25,53.25,71.00,17.41,53.10,53.10,59.00
A4042  NutriliteTM Chewable Vitamin E,,12.75,39.00,39.00,52.00,12.69,38.70,38.70,43.00
A4230  NutriliteTM Gluten-free Daily,,11.33,35.70,35.70,42.00,11.80,36.00,36.00,40.00
A4300  NutriliteTM Double XTM Vitamin/Mineral/Phytonutrient Supplement – 31-Day Supply with 3-Compartment Case,,18.25,54.75,54.75,73.00,18.00,54.90,54.90,61.00
A5353  NutriliteTM Kids Chewable Vitamin C,,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A5923  NutriliteTM Garlic Heart Care,,9.75,30.75,30.75,41.00,10.03,30.60,30.60,34.00
A5986  NutriliteTM Immunity Echinacea,,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
"A7553  NutriliteTM Hair, Skin and Nail Health",,7.25,22.50,22.50,30.00,7.38,22.50,22.50,25.00
A8004  NutriliteTM Prostate Health,,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
A8006  NutriliteTM PMS Women's Health,,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A8084  NutriliteTM Liver Support,,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A8085  NutriliteTM Menopause EaseTM Dietary Supplement,,9.50,28.50,28.50,38.00,9.44,28.80,28.80,32.00
A8600  NutriliteTM Glucose Health,,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
A8601  NutriliteTM Heart Health CoQ10,,8.50,25.50,25.50,34.00,8.26,25.20,25.20,28.00
A8903  NutriliteTM Digestive Enzyme,,13.75,43.50,43.50,58.00,14.16,43.20,43.20,48.00
A8914  NutriliteTM Balanced Health Omega,,6.00,18.00,18.00,24.00,5.90,18.00,18.00,20.00
A8919  NutriliteTM Heart Health Omega,,10.50,31.50,31.50,42.00,10.33,31.50,31.50,35.00
A8992  NutriliteTM Sleep Health,,7.25,22.50,22.50,30.00,7.38,22.50,22.50,25.00
AA0114  NutriliteTM Digestive Probiotic,,11.25,33.75,33.75,45.00,11.21,34.20,34.20,38.00
120571  NutriliteTM Balance WithinTM Probiotic,,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
109745  NutriliteTM Vitamin C Extended Release - 60 Tablets,,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
123843  NutriliteTM Immunity Pack,,8.22,24.65,24.65,29.00,7.97,24.30,24.30,27.00
124484  NutriliteTM Daily – 60 Tablets,,4.53,13.60,13.60,16.00,4.43,13.50,13.50,15.00
290215  NutriliteTM Strong Living Bundle,,34.00,103.50,103.50,138.00,34.23,104.40,104.40,116.00
294984  NutriliteTM Double XTM Messenger Kit,,39.67,75.15,170.00,173.60,22.31,68.04,107.10,114.66
100332  NutriliteTM Perfect Pack for Your Health - 30 day refill,,35.75,108.75,108.75,145.00,35.70,108.90,108.90,121.00
n* by NutiliteTM CATEGORY,,,,,,,,,
124504  n* by NutriliteTM Rays for Days - Sunny Vitamin D Gummies Dietary Supplement,,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
"124505  n* by NutriliteTM Less Stress, More Yes – Relax Gummies Dietary Supplement",,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
124506  n* by NutriliteTM Sweet Dreams – Sleep Gummies Dietary Supplement,,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
124555  n* by NutriliteTM Go Shield – Immunity Gummies Dietary Supplement,,4.95,14.85,14.85,16.50,4.87,14.85,14.85,16.50
